10.10.2.1,192.168.10.1,ram,failure
10.10.2.1,192.168.10.1,ram,success
10.0.3.1,192.168.20.1,drob,success
10.10.2.1,192.168.10.1,ram,success
10.10.2.1,192.168.10.1,jmoe,failure
10.10.2.1,192.168.10.1,jmoe,success
10.10.2.1,192.168.10.1,jmoe,failure
10.10.2.1,192.168.10.1,jmoe,failure
10.10.2.1,192.168.10.1,ram,success
10.10.2.1,192.168.10.1,gmartinez,success
10.10.2.1,192.168.10.1,gmartinez,success
10.10.2.1,192.168.10.1,ram,success
10.10.2.1,192.168.10.1,gmartinez,success
10.10.2.1,192.168.10.1,jmoe,success
10.10.2.1,192.168.10.1,gmartinez,success
10.10.2.1,192.168.10.1,jmoe,success
10.10.2.1,192.168.10.1,jmoe,failure
10.10.2.1,192.168.10.1,cmd,failure
10.10.2.1,192.168.10.1,gmartinez,success
10.10.2.1,192.168.10.1,jmoe,success
10.10.2.1,192.168.10.1,cmd,success
10.10.2.1,192.168.10.1,ram,failure
10.10.2.1,192.168.0.2,jmoe,failure
10.10.2.1,192.168.0.3,jmoe,failure
10.10.2.1,192.168.10.1,ram,success
10.0.3.1,192.168.20.1,drob,success
10.10.2.1,192.168.10.1,jmoe,failure
10.10.2.1,192.168.10.1,cmd,success
10.10.2.1,192.168.10.1,ram,failure
10.10.2.1,192.168.10.1,jmoe,failure
10.10.2.1,192.168.10.1,jmoe,success
10.10.2.1,192.168.10.1,ram,failure
10.10.2.1,192.168.10.1,gmartinez,success
10.10.2.1,192.168.10.1,jmoe,success
10.10.2.1,192.168.10.1,ram,success
10.10.2.1,192.168.10.1,gmartinez,success
10.10.2.1,192.168.10.1,ram,success
10.10.2.1,192.168.10.1,gmartinez,success
10.10.2.1,192.168.10.1,cmd,failure
10.10.2.1,192.168.10.1,ram,success
10.10.2.1,192.168.10.1,cmd,success
10.10.2.1,192.168.10.1,ram,success
10.10.2.1,192.168.0.2,jmoe,failure
10.10.2.1,192.168.0.3,jmoe,failure
10.10.2.1,192.168.10.1,cmd,success
10.0.3.1,192.168.20.1,drob,success
10.10.2.1,192.168.10.1,jmoe,success
10.10.2.1,192.168.10.1,cmd,failure
10.10.2.1,192.168.10.1,ram,failure
10.10.2.1,192.168.10.1,jmoe,failure
10.10.2.1,192.168.10.1,jmoe,success
10.10.2.1,192.168.10.1,jmoe,success
10.10.2.1,192.168.10.1,gmartinez,success
10.10.2.1,192.168.10.1,cmd,success
10.10.2.1,192.168.10.1,cmd,success
10.10.2.1,192.168.10.1,gmartinez,success
10.10.2.1,192.168.10.1,gmartinez,success
10.10.2.1,192.168.10.1,jmoe,success
10.10.2.1,192.168.10.1,jmoe,failure
10.10.2.1,192.168.10.1,jmoe,failure
10.10.2.1,192.168.10.1,cmd,failure
10.10.2.1,192.168.10.1,jmoe,failure
10.10.2.1,192.168.10.1,gmartinez,success
10.10.2.1,192.168.10.1,jmoe,success
10.10.2.1,192.168.10.1,cmd,success
